city,cy,cx,airport,airport_y,airport_x
太原,37.89027705,112.5508636,武宿机场,37.76147318,112.637907
台州,28.66828329,121.4406129,路桥机场,28.54865944,121.4502425
天津,39.1439299,117.2108131,滨海机场,39.13701,117.368077
通辽,43.63375607,122.2603633,通辽机场,43.56563381,122.2133481
铜仁,27.67490269,109.168558,铜仁凤凰机场,27.88733395,109.3196217
天水,34.58431942,105.7369316,天水机场,34.56110819,105.8752987
万州,30.71005418,108.4134386,五桥机场,30.80042357,108.4370524
威海,37.52878708,122.0939584,威海机场,37.19271274,122.2465337
潍坊,36.71611487,119.1426338,潍坊机场,36.65492176,119.1283989
温州,28.00283759,120.6906347,龙湾国际机场,27.921697,120.859511
乌海,39.68317701,106.8319991,乌海机场,39.80051204,106.8122062
乌兰浩特,46.11694357,122.0815338,乌兰浩特机场,46.20485308,122.0162782
乌鲁木齐,43.84038035,87.56498774,地窝堡机场,43.90839256,87.48112787
无锡,31.57003745,120.3054559,苏南硕放机场,31.79218763,120.634839
武汉,30.58108413,114.3162001,天河机场,30.78190847,114.2251467
武夷山,27.74813517,118.0115426,武夷山机场,27.70413253,118.0116174
梧州,23.48539464,111.305472,梧州机场,23.45858397,111.2629879
西安,34.347507,108.951064,咸阳机场,34.44342046,108.7704662
西昌,27.8633774,102.1178879,青山机场,27.98456238,102.1956138
西宁,36.64073861,101.767921,曹家堡机场,36.5309791,102.046965
西双版纳,22.009433,100.8030383,嘎洒机场,21.97616589,100.7739697
锡林浩特,44.07896113,116.1369483,锡林浩特机场,43.91394965,115.9687794
厦门,24.48923061,118.103886,高崎机场,24.54026952,118.1389623
香格里拉,27.86668083,99.85507644,香格里拉机场,27.79863643,99.69119297
徐州,34.27155343,117.1881066,观音机场,34.05909514,117.5668994
兴义,25.00254377,104.8578372,兴义机场,25.08909967,104.9684731
烟台,37.53656156,121.309555,蓬莱国际机场,37.66116041,120.8626943
延安,36.60332035,109.5005098,二十里铺机场,36.644722,109.56378
延吉,43.0596666,129.4713015,朝阳川机场,42.88967,129.46267
盐城,33.37986188,120.1488718,盐城机场,33.43432632,120.2105178
伊宁,44.02035582,81.28904807,伊宁机场,43.96327841,81.33773517
宜宾,28.7696748,104.6330191,菜坝机场,28.80008861,104.5621282
宜昌,30.73275782,111.3109811,三峡机场,30.55354832,111.4917618
义乌,29.30644391,120.0672956,义乌机场,29.3485236,120.0414385
银川,38.50262101,106.2064786,河东机场,38.331163,106.3974888
永州,26.43597165,111.6146477,永州机场,26.43597165,111.6146477
榆林,38.27943924,109.7459257,榆阳机场,38.38640664,109.6426925
运城,35.03885948,111.0068537,关公机场,35.121655,111.044578
伊春,47.74195924,128.9005796,伊春机场,47.75784172,129.0291689
玉树,32.90657463,96.71235012,玉树巴塘机场,32.84140003,97.04287431
湛江,21.2574631,110.3650673,湛江机场,21.21856213,110.3708445
张家界,29.12488935,110.4816202,荷花机场,29.11010946,110.4585303
昭通,27.34063296,103.7250207,昭通机场,27.32968865,103.7640323
郑州,34.75661006,113.6496439,新郑机场,34.53146214,113.8526054
舟山,30.0360103,122.1698721,普陀山机场,29.93816772,122.365915
珠海,22.25691465,113.562447,金湾机场,22.04721493,113.4175899
芷江,27.40251042,109.6111049,芷江机场,27.44697551,109.7117828
